smiles,is_toxic
COC1(NC(=O)CSC(F)F)C(=O)N2C(C(=O)O)=C(CSc3nnnn3CCO)COC21,1
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,1
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,1
Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,1
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,1
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,1
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,1
CNCCc1ccccn1,1
CC(N)C(=O)NC(C)C(=O)NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC21,1
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,1
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,1
Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(=N)[nH]1,1
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,1
Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,1
Cc1ncc([N+](=O)[O-])n1CCO,1
COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,1
COc1ccc(CN2CCNCC2)c(OC)c1OC,1
N=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,1
CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,1
COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,1
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,1
CNCC(O)c1cccc(O)c1,1
CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1,1
COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,1
COC1=C2C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(OC)C3(C)C1=O)C2(C)C,1
CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,1
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,1
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,1
CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,1
CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,1
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,1
CNC1C(O)C(OC2C(NC(=O)C(O)CN)CC(N)C(OC3OC(CN)C(O)C(O)C3O)C2O)OCC1(C)O,1
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,1
CN(C)CCN(Cc1ccccc1)c1ccccn1,1
O=C1C=NC(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,1
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1
CNCCC(Oc1ccccc1C)c1ccccc1,1
CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,1
CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,1
CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,1
NC1=NCC2c3ccccc3Cc3ccccc3N12,1
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1
NC(=O)OCC(COC(N)=O)c1ccccc1,1
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C2NC(COCCOC)OC(C2C)C1(C)O,1
COc1cc2[nH]c(N(C)CCCNC(=O)C3CCCO3)nc(=N)c2cc1OC,1
O=C(O)C(CC(=O)N1CC2CCCCC2C1)Cc1ccccc1,1
Nc1ccc(C(=O)O)c(O)c1,1
NC(=O)NS(=O)(=O)c1ccc(N)cc1,1
NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC12,1
O=C(Oc1ccccc1C(=O)O)c1ccccc1O,1
Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1,1
CC1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1
Oc1c2c(c(O)n1CCCCN1CCN(c3ncccn3)CC1)C1CCC2C1,1
CC=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,1
CC1(C)SC2C(NC(=O)Cc3ccccc3)CN2C1C(=O)O,1
ClC(Cl)(Cl)Cl,1
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,1
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,1
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,1
Cc1cccc(C)c1OCC(C)N,1
CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,1
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,1
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,1
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,1
